"name","sku","asin","size","pattern","color"
"波斯浅绿带葵","G24267-5-Green-3x5","B0DBVPWW8F","3x5","G24267","Green"
"波斯浅绿带葵","G24267-5-Green-5x7","B0DBVNT5V3","5x7","G24267","Green"
"波斯浅绿带葵","G24267-5-Green-6x9","B0DBVJDNXF","6x9","G24267","Green"
"波斯浅绿带葵","G24267-5-Green-8x10","B0DBVM69Y6","8x10","G24267","Green"
"波斯浅绿带葵","G24267-5-Green-9x12","B0DBVMLB8P","9x12","G24267","Green"
"波斯奶白带葵","G24267-2-Beige-3x5","B0DBVM2KQN","3x5","G24267","Beige"
"波斯奶白带葵","G24267-2-Beige-5x7","B0DBVNXDMY","5x7","G24267","Beige"
"波斯奶白带葵","G24267-2-Beige-6x9","B0DBVM7S5P","6x9","G24267","Beige"
"波斯奶白带葵","G24267-2-Beige-8x10","B0DBVKBXCB","8x10","G24267","Beige"
"波斯奶白带葵","G24267-2-Beige-9x12","B0DBVN24HV","9x12","G24267","Beige"
"波斯肉粉带葵","G24267-4-Pink-3x5","B0DBVKS2S4","3x5","G24267","Pink"
"波斯肉粉带葵","G24267-4-Pink-5x7","B0DBVL7HCW","5x7","G24267","Pink"
"波斯肉粉带葵","G24267-4-Pink-6x9","B0DBVPKNL7","6x9","G24267","Pink"
"波斯肉粉带葵","G24267-4-Pink-8x10","B0DBVMDM69","8x10","G24267","Pink"
"波斯肉粉带葵","G24267-4-Pink-9x12","B0DBVLNWGB","9x12","G24267","Pink"
"波斯黑色无葵","G24268-7-Black-3x5","B0DBYP9F11","3x5","G24268","Black"
"波斯黑色无葵","G24268-7-Black-5x7","B0DBZB9JY5","5x7","G24268","Black"
"波斯黑色无葵","G24268-7-Black-6x9","B0DBYXH8YW","6x9","G24268","Black"
"波斯黑色无葵","G24268-7-Black-8x10","B0DBY8NGRN","8x10","G24268","Black"
"波斯黑色无葵","G24268-7-Black-9x12","B0DBYYXW44","9x12","G24268","Black"
"波斯米色无葵","G24268-1A-Cream-3x5","B0DBYY5XMP","3x5","G24268","Cream"
"波斯米色无葵","G24267-1A-Cream-5x7","B0DBYX9CK6","5x7","G24267","Cream"
"波斯米色无葵","G24267-1A-Cream-6x9","B0DBYV567L","6x9","G24267","Cream"
"波斯米色无葵","G24267-1A-Cream-8x10","B0DBYVNMF8","8x10","G24267","Cream"
"波斯米色无葵","G24267-1A-Cream-9x12","B0DBYZ1P1H","9x12","G24267","Cream"
"现代线条橙色","N1338-1-Orange-3x5","B0DBZ7YNH5","3x5","N1338","Orange"
"现代线条橙色","N1338-1-Orange-5x7","B0DBYYVZMX","5x7","N1338","Orange"
"现代线条橙色","N1338-1-Orange-6x9","B0DBZ5DYF4","6x9","N1338","Orange"
"现代线条橙色","N1338-1-Orange-8x10","B0DBYSVWYJ","8x10","N1338","Orange"
"现代线条橙色","N1338-1-Orange-9x12","B0DBZ56PC3","9x12","N1338","Orange"
"现代线条绿色","N1338-3-Sage Green-3x5","B0DBYMRB1C","3x5","N1338","Sage Green"
"现代线条绿色","N1338-3-Sage Green-5x7","B0DBYV7V8N","5x7","N1338","Sage Green"
"现代线条绿色","N1338-3-Sage Green-6x9","B0DBYT5KQ7","6x9","N1338","Sage Green"
"现代线条绿色","N1338-3-Sage Green-8x10","B0DBZGL9YS","8x10","N1338","Sage Green"
"现代线条绿色","N1338-3-Sage Green-9x12","B0DBZ4M9KK","9x12","N1338","Sage Green"
"现代线条粉色","N1338-2-Pink-3x5","B0DBYLGSS5","3x5","N1338","Pink"
"现代线条粉色","N1338-2-Pink-5x7","B0DBZ526W9","5x7","N1338","Pink"
"现代线条粉色","N1338-2-Pink-6x9","B0DBYZKLW1","6x9","N1338","Pink"
"现代线条粉色","N1338-2-Pink-8x10","B0DBZ1H9PP","8x10","N1338","Pink"
"现代线条粉色","N1338-2-Pink-9x12","B0DBZ2P8GP","9x12","N1338","Pink"
"现代线条灰底","N1338-7-Grey-5x7","B0DQ8PNQMC","5x7","N1338","Grey"
"现代线条灰底","N1338-7-Grey-6x9","B0DQ8CQ71N","6x9","N1338","Grey"
"现代线条灰底","N1338-7-Grey-8x10","B0DQ8FXRDX","8x10","N1338","Grey"
"现代线条深蓝线","N1338-9-Indigo-5x7","B0DQ8C6CY8","5x7","N1338","Indigo"
"现代线条深蓝线","N1338-9-Indigo-6x9","B0DQ8D9WPY","6x9","N1338","Indigo"
"现代线条深蓝线","N1338-9-Indigo-8x10","B0DQ8FD32B","8x10","N1338","Indigo"
"现代米黄抽象","G24136-7-Beige-3x5","B0DBZ697XG","3x5","G24136","Beige"
"现代米黄抽象","G24136-7-Beige-5x7","B0DBZ76XQH","5x7","G24136","Beige"
"现代米黄抽象","G24136-7-Beige-6x9","B0DBYW49QF","6x9","G24136","Beige"
"现代米黄抽象","G24136-7-Beige-8x10","B0DBZ3PDH4","8x10","G24136","Beige"
"现代米黄抽象","G24136-7-Beige-9x12","B0DBZ767W8","9x12","G24136","Beige"
"现代炭黑抽象","G24136-13-Grey-3x5","B0DBZGGRRH","3x5","G24136","Grey"
"现代炭黑抽象","G24136-13-Grey-5x7","B0DBYZM1X6","5x7","G24136","Grey"
"现代炭黑抽象","G24136-13-Grey-6x9","B0DBZ2P9PH","6x9","G24136","Grey"
"现代炭黑抽象","G24136-13-Grey-8x10","B0DBYW12W5","8x10","G24136","Grey"
"现代炭黑抽象","G24136-13-Grey-9x12","B0DBYZRL7Z","9x12","G24136","Grey"
