return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status	license-plate-number	customer-comments
2025-03-25T22:44:42-07:00	114-4965073-4828227	N1338-3-Sage Green-8x10-US-V1	B0DBZGL9YS	X004CCZCIN	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	TEN1	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNPMDT5359235	
2025-03-25T20:17:12-07:00	113-2110971-5697057	G24267-5-Green-9x12-US-V1	B0DBVMLB8P	X004CBDMCH	LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	TEN1	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory	LPNPMDW6332438	
2025-03-25T19:24:22-07:00	112-1729861-5980254	G24267-1A-Cream-5x7-US-V1	B0DBYX9CK6	X004CCOSNN	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Colorful Vintage Traditional Floral Dining Room Rugs for Under Table Indoor Carpet for Living Room	1	LEX1	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory	LPNNB5RG2NTQH	Too thin and wouldn&#39;t lay out very well.
2025-03-25T18:21:37-07:00	113-0231235-2499442	G24268-7-Black-3x5-US-V1	B0DBYP9F11	X004CCTLNZ	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNL4GL8Q4H4	The color does not reflect description
2025-03-25T11:55:49-07:00	112-7299613-8600219	N1338-7-Grey-8x10-US-V1	B0DQ8FXRDX	X004HY8QCP	LUXRUG Washable Area Rug 8x10 - Large Grey Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	SDF6	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNK45Z6P2HW	
2025-03-25T09:26:41-07:00	113-1838967-7361857	G24268-7-Black-3x5-US-V1	B0DBYP9F11	X004CCTLNZ	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office	1	LAS2	SELLABLE	APPAREL_TOO_LARGE	Unit returned to inventory	LPNPMDI0950514	Too large
2025-03-25T08:30:25-07:00	114-2933262-8106629	N1338-2-Pink-3x5-US-V1	B0DBYLGSS5	X004CCUYSV	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Pink Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory	LPNPMDK2059463	Ordered two
2025-03-25T08:05:36-07:00	111-1612268-1994631	G24136-7-Beige-6x9-US-V1	B0DBYW49QF	X004CCYGD5	LUXRUG 6x9 Area Rug - Large Modern Abstract Washable Non-Slip Beige Stain Resistant Living Room Rug Geometric Low-Pile Soft Floor Carpet for Bedroom Dining Room Office Nursery Home Decor	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNB5Z8JFDF5	It does not look like the photo.
2025-03-25T06:28:38-07:00	112-3479078-7889049	G24267-5-Green-8x10-US-V1	B0DBVM69Y6	X004CBGGHP	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	TEN1	SELLABLE	UNWANTED_ITEM	Unit returned to inventory	LPNPMDP2378964	The color did not work in the space
2025-03-25T01:49:09-07:00	112-5604716-1975405	G24268-7-Black-3x5-US-V1	B0DBYP9F11	X004CCTLNZ	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office	1	PGA1	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNAC363914866	Way too wrinkled and thin
