序号,"尺寸
CM
足尺
W","尺寸
CM
足尺
L","尺寸
FT","产品
图片",产品名称,公司SKU,平台SKU,ASIN,FNSKU,产品包装尺寸,,,,,,"产品+
包装重量",,外箱,,,,,,重量,,箱容,产品包装体积,,单箱体积,,"包装袋
尺寸",平米数,"成本
$",备注,,,,,,
,,,,,,,,,,"长
cm","宽
cm","高
cm","长
Inch","宽
Inch","高
Inch","单条
重量kg",磅,"长
cm","宽
cm","高
cm","长
Inch","宽
Inch","高
Inch",千克,磅,,立方米,立方英尺,立方米,立方英尺,,,,,,,,,,
1,91,152,3x5,#NAME?,波斯浅绿带葵3*5,G24267-5-Green-3x5,G24267-5-Green-3x5-US-V1,B0DBVPWW8F,X004CBBSFZ,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
2,152,213,5x7,,波斯浅绿带葵5*7,G24267-5-Green-5x7,G24267-5-Green-5x7-US-V1,B0DBVNT5V3,X004CBGERR,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
3,183,274,6x9,,波斯浅绿带葵6*9,G24267-5-Green-6x9,G24267-5-Green-6x9-US-V1,B0DBVJDNXF,X004CBJR85,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
4,244,305,8x10,,波斯浅绿带葵8*10,G24267-5-Green-8x10,G24267-5-Green-8x10-US-V1,B0DBVM69Y6,X004CBGGHP,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
5,274,366,9x12,,波斯浅绿带葵9*12,G24267-5-Green-9x12,G24267-5-Green-9x12-US-V1,B0DBVMLB8P,X004CBDMCH,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
6,91,152,3x5,#NAME?,波斯奶白带葵3*5,G24267-2-Beige-3x5,G24267-2-Beige-3x5-US-V1,B0DBVM2KQN,X004CBBRXX,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
7,152,213,5x7,,波斯奶白带葵5*7,G24267-2-Beige-5x7,G24267-2-Beige-5x7-US-V1,B0DBVNXDMY,X004CBJOSX,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
8,183,274,6x9,,波斯奶白带葵6*9,G24267-2-Beige-6x9,G24267-2-Beige-6x9-US-V1,B0DBVM7S5P,X004CBGGCF,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
9,244,305,8x10,,波斯奶白带葵8*10,G24267-2-Beige-8x10,G24267-2-Beige-8x10-US-V1,B0DBVKBXCB,X004CBGG1B,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
10,274,366,9x12,,波斯奶白带葵9*12,G24267-2-Beige-9x12,G24267-2-Beige-9x12-US-V1,B0DBVN24HV,X004CBJR4J,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
11,91,152,3x5,#NAME?,波斯肉粉带葵3*5,G24267-4-Pink-3x5,G24267-4-Pink-3x5-US-V1,B0DBVKS2S4,X004CBJR8F,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
12,152,213,5x7,,波斯肉粉带葵5*7,G24267-4-Pink-5x7,G24267-4-Pink-5x7-US-V1,B0DBVL7HCW,X004CBGE95,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
13,183,274,6x9,,波斯肉粉带葵6*9,G24267-4-Pink-6x9,G24267-4-Pink-6x9-US-V1,B0DBVPKNL7,X004CBGE8V,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
14,244,305,8x10,,波斯肉粉带葵8*10,G24267-4-Pink-8x10,G24267-4-Pink-8x10-US-V1,B0DBVMDM69,X004CBGG75,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
15,274,366,9x12,,波斯肉粉带葵9*12,G24267-4-Pink-9x12,G24267-4-Pink-9x12-US-V1,B0DBVLNWGB,X004CBBS4B,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
16,91,152,3x5,#NAME?,波斯黑色无葵3*5,G24268-7-Black-3x5,G24268-7-Black-3x5-US-V1,B0DBYP9F11,X004CCTLNZ,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
17,152,213,5x7,,波斯黑色无葵5*7,G24268-7-Black-5x7,G24268-7-Black-5x7-US-V1,B0DBZB9JY5,X004CCTMV1,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
18,183,274,6x9,,波斯黑色无葵6*9,G24268-7-Black-6x9,G24268-7-Black-6x9-US-V1,B0DBYXH8YW,X004CCN2HB,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
19,244,305,8x10,,波斯黑色无葵8*10,G24268-7-Black-8x10,G24268-7-Black-8x10-US-V1,B0DBY8NGRN,X004CCN1OF,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
20,274,366,9x12,,波斯黑色无葵9*12,G24268-7-Black-9x12,G24268-7-Black-9x12-US-V1,B0DBYYXW44,X004CCKRQF,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
21,91,152,3x5,#NAME?,波斯米色无葵3*5,G24268-1A-Cream-3x5,G24268-1A-Cream-3x5-US-V1,B0DBYY5XMP,X004CCKR6P,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
22,152,213,5x7,,波斯米色无葵5*7,G24267-1A-Cream-5x7,G24267-1A-Cream-5x7-US-V1,B0DBYX9CK6,X004CCOSNN,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
23,183,274,6x9,,波斯米色无葵6*9,G24267-1A-Cream-6x9,G24267-1A-Cream-6x9-US-V1,B0DBYV567L,X004CCKPG7,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
24,244,305,8x10,,波斯米色无葵8*10,G24267-1A-Cream-8x10,G24267-1A-Cream-8x10-US-V1,B0DBYVNMF8,X004CCRXK3,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
25,274,366,9x12,,波斯米色无葵9*12,G24267-1A-Cream-9x12,G24267-1A-Cream-9x12-US-V1,B0DBYZ1P1H,X004CCPQYD,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
26,91,152,3x5,#NAME?,现代线条橙色3*5,N1338-1-Orange-3x5,N1338-1-Orange-3x5-US-V1,B0DBZ7YNH5,X004CCRHBX,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
27,152,213,5x7,,现代线条橙色5*7,N1338-1-Orange-5x7,N1338-1-Orange-5x7-US-V1,B0DBYYVZMX,X004CCZFYJ,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
28,183,274,6x9,,现代线条橙色6*9,N1338-1-Orange-6x9,N1338-1-Orange-6x9-US-V1,B0DBZ5DYF4,X004CCRG7N,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
29,244,305,8x10,,现代线条橙色8*10,N1338-1-Orange-8x10,N1338-1-Orange-8x10-US-V1,B0DBYSVWYJ,X004CCRGQT,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
30,274,366,9x12,,现代线条橙色9*12,N1338-1-Orange-9x12,N1338-1-Orange-9x12-US-V1,B0DBZ56PC3,X004CCV06L,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
