"sku","asin","inb2AWD","avai_AWD","res_AWD","outb2FBA","avai_FBA","avai_FBA_days","res_FBA"
"N1338-9-Indigo-8x10-US-V1","B0DQ8FD32B",14,2,12,0,17,52,0
"N1338-9-Indigo-6x9-US-V1","B0DQ8D9WPY",24,36,0,2,33,102,4
"N1338-9-Indigo-5x7-US-V1","B0DQ8C6CY8",28,44,0,0,46,97,2
"N1338-7-Grey-8x10-US-V1","B0DQ8FXRDX",12,0,12,0,6,70,0
"N1338-7-Grey-6x9-US-V1","B0DQ8CQ71N",8,6,4,2,11,86,0
"N1338-7-Grey-5x7-US-V1","B0DQ8PNQMC",20,20,0,2,13,76,5
"N1338-3-Sage Green-9x12-US-V1","B0DBZ4M9KK",27,64,1,5,41,94,2
"N1338-3-Sage Green-8x10-US-V1","B0DBZGL9YS",58,284,4,4,60,78,4
"N1338-3-Sage Green-6x9-US-V1","B0DBYT5KQ7",44,172,8,22,39,43,33
"N1338-3-Sage Green-5x7-US-V1","B0DBYV7V8N",68,112,8,16,63,48,31
"N1338-3-Sage Green-3x5-US-V1","B0DBYMRB1C",60,90,0,0,65,77,52
"N1338-2-Pink-5x7-US-V1","B0DBZ526W9",0,0,0,4,6,26,4
"N1338-1-Orange-9x12-US-V1","B0DBZ56PC3",23,60,0,2,31,100,0
"N1338-1-Orange-8x10-US-V1","B0DBYSVWYJ",76,268,14,4,58,64,6
"N1338-1-Orange-6x9-US-V1","B0DBZ5DYF4",38,72,0,26,33,49,10
"N1338-1-Orange-5x7-US-V1","B0DBYYVZMX",76,112,16,16,69,60,17
"N1338-1-Orange-3x5-US-V1","B0DBZ7YNH5",70,110,0,50,64,117,38
"G24451-4-Blue-9x12-US-V1","B0DQ8JT91X",31,64,0,2,65,216,3
"G24451-4-Blue-8x10-US-V1","B0DQ8R6L2D",52,146,0,0,37,147,2
"G24451-4-Blue-6x9-US-V1","B0DQ8SFYYM",62,96,0,0,92,168,29
"G24451-4-Blue-5x7-US-V1","B0DQ8SVXRX",56,124,0,0,73,240,4
"G24451-2-Bronze-9x12-US-V1","B0DQ8PLLMR",0,0,0,2,17,34,0
"G24451-2-Bronze-6x9-US-V1","B0DQ8LPFLB",0,0,0,8,11,57,10
"G24451-2-Bronze-5x7-US-V1","B0DQ8KKQ4G",0,0,0,8,8,76,16
"G24451-1-Pink--9x12-US-V1","B0DQ8LWKHK",25,25,0,0,67,366,0
"G24451-1-Pink--8x10-US-V1","B0DQ8SHCCL",34,98,0,0,37,197,4
"G24451-1-Pink--6x9-US-V1","B0DQ8R7236",50,110,0,0,59,201,5
"G24451-1-Pink--5x7-US-V1","B0DQ8JSCVD",44,116,0,12,33,195,12
"G24268-7-Black-9x12-US-V1","B0DBYYXW44",67,183,0,11,93,62,1
"G24268-7-Black-8x10-US-V1","B0DBY8NGRN",70,106,0,8,68,61,25
"G24268-7-Black-6x9-US-V1","B0DBYXH8YW",38,38,2,2,35,78,8
"G24268-7-Black-5x7-US-V1","B0DBZB9JY5",56,132,0,12,47,49,26
"G24268-7-Black-3x5-US-V1","B0DBYP9F11",80,0,70,5,23,26,3
"G24268-1A-Cream-3x5-US-V1","B0DBYY5XMP",20,20,10,10,28,75,41
"G24267-5-Green-9x12-US-V1","B0DBVMLB8P",93,72,21,1,137,76,6
"G24267-5-Green-8x10-US-V1","B0DBVM69Y6",46,0,48,0,0,155,21
"G24267-5-Green-6x9-US-V1","B0DBVJDNXF",70,60,10,4,73,43,14
"G24267-5-Green-5x7-US-V1","B0DBVNT5V3",24,0,28,4,6,58,2
"G24267-5-Green-3x5-US-V1","B0DBVPWW8F",80,20,50,22,70,90,1
"G24267-2-Beige-9x12-US-V1","B0DBVN24HV",35,62,0,1,61,118,0
"G24267-2-Beige-8x10-US-V1","B0DBVKBXCB",88,162,0,0,45,118,20
"G24267-2-Beige-6x9-US-V1","B0DBVM7S5P",20,22,0,2,26,67,8
"G24267-2-Beige-5x7-US-V1","B0DBVNXDMY",12,24,0,4,36,61,1
"G24267-2-Beige-3x5-US-V1","B0DBVM2KQN",20,30,0,1,51,115,1
"G24267-1A-Cream-9x12-US-V1","B0DBYZ1P1H",27,0,27,0,10,54,4
"G24267-1A-Cream-8x10-US-V1","B0DBYVNMF8",44,0,44,0,12,34,1
"G24267-1A-Cream-6x9-US-V1","B0DBYV567L",24,0,24,2,13,39,6
"G24267-1A-Cream-5x7-US-V1","B0DBYX9CK6",20,12,8,8,17,54,27
"G24136-7-Beige-6x9-US-V1","B0DBYW49QF",0,2,0,0,23,158,1
