Timestamp,03/26/25 15:28:23,,,,,,,,,,,,,,,,,,,
Merchant ID,A1SBBNS12ROFRE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Product Name,SKU,FNSKU,ASIN,Inbound to AWD (units),Inbound to AWD (cases),Available in AWD (units),Available in AWD (cases),Reserved in AWD (units),Reserved in AWD (cases),Outbound Order (units),Outbound Order (cases),Researching (units),Researching (cases),Outbound to FBA (units),Available in FBA (units),Available in FBA (days),Reserved in FBA (units),Customer Order (units),FC Processing (units),FC Transfer (units)
LUXRUG Washable Area Rug 8x10 - Large Indigo Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor,N1338-9-Indigo-8x10-US-V1,X004HYK0SX,B0DQ8FD32B,14,7,2,1,12,6,10,5,2,1,0,17,52,0,0,0,0
LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Indigo Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet Soft Modern Rug for Office Classroom Nursery Room,N1338-9-Indigo-6x9-US-V1,X004HYCAEP,B0DQ8D9WPY,24,12,36,18,0,0,0,0,0,0,2,33,102,4,1,1,2
LUXRUG Washable Area Rug 5x7 - Boho Living Room Stain Resistant Soft Bedroom Ultra-Thin Indigo Modern Abstract Rainbow Indoor Carpet for Dining Room Nursery,N1338-9-Indigo-5x7-US-V1,X004HY1E8N,B0DQ8C6CY8,28,7,44,11,0,0,0,0,0,0,0,46,97,2,0,0,2
LUXRUG Washable Area Rug 8x10 - Large Grey Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor,N1338-7-Grey-8x10-US-V1,X004HY8QCP,B0DQ8FXRDX,12,6,0,0,12,6,12,6,0,0,0,6,70,0,0,0,0
LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Grey Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet Soft Modern Rug for Office Classroom Nursery Room,N1338-7-Grey-6x9-US-V1,X004HYB00F,B0DQ8CQ71N,8,4,6,3,4,2,4,2,0,0,2,11,86,0,0,0,0
LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Grey Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room,N1338-7-Grey-5x7-US-V1,X004HYC8T7,B0DQ8PNQMC,20,5,20,5,0,0,0,0,0,0,2,13,76,5,0,0,5
LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor,N1338-3-Sage Green-9x12-US-V1,X004CCV07F,B0DBZ4M9KK,27,27,64,64,1,1,1,1,0,0,5,41,94,2,0,1,1
LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor,N1338-3-Sage Green-8x10-US-V1,X004CCZCIN,B0DBZGL9YS,58,29,284,142,4,2,4,2,0,0,4,60,78,4,0,3,1
LUXRUG 6x9 Area Rug - Large Modern Abstract Washable Non-Slip Sage Green Stain Resistant Living Room Rug Rainbow Low-Pile Soft Floor Carpet for Bedroom Dining Room Office Nursery,N1338-3-Sage Green-6x9-US-V1,X004CCUZEJ,B0DBYT5KQ7,44,22,172,86,8,4,8,4,0,0,22,39,43,33,2,29,2
LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room,N1338-3-Sage Green-5x7-US-V1,X004CCZH29,B0DBYV7V8N,68,17,112,28,8,2,8,2,0,0,16,63,48,31,3,6,22
