"order_id","date","status","asin","quantity","price","discount","city","state","zip"
"114-8687376-6308249",2025-03-27 03:22:14,"Pending","B0DBY8NGRN",1,159.99,0,"FRANKLIN","TN","37064"
"112-5292664-8667446",2025-03-27 03:15:44,"Pending","B0DQ8SHCCL",1,109.99,0,"RANCHO CORDOVA","CA","95742"
"112-1753225-8877030",2025-03-27 03:02:26,"Pending","B0DBYLGSS5",1,26.99,0,"WAYNESBORO","PA","17268"
"111-7275333-0710619",2025-03-27 03:00:49,"Pending","B0DBZGL9YS",1,159.99,0,"LAKE FOREST","CA","92630"
"112-9075527-9866605",2025-03-27 02:53:27,"Pending","B0DBZ1H9PP",1,159.99,0,"SEATTLE","WA","98199"
"114-1769652-1570657",2025-03-27 02:25:33,"Pending","B0DBYLGSS5",1,26.99,0,"COLUMBUS","OH","43213"
"114-5298310-9230620",2025-03-27 02:03:27,"Pending","B0DBZGL9YS",1,159.99,0,"AUBREY","TX","76227"
"112-6856848-2229802",2025-03-27 01:50:09,"Pending","B0DBVMLB8P",1,134.99,0,"PINEHURST","NC","28374"
"114-5608405-3745839",2025-03-27 01:46:39,"Pending","B0DBYP9F11",1,38.99,0,"MACON","GA","31210"
"113-3428711-4158619",2025-03-27 01:40:15,"Pending","B0DBZ7YNH5",1,27.99,0,"BURIEN","WA","98166"
"111-0635995-1506623",2025-03-27 01:36:34,"Pending","B0DBYV7V8N",1,58.99,0,"LAWTON","OK","73505"
"111-3537489-7937061",2025-03-27 01:31:16,"Pending","B0DBYYVZMX",1,50.99,0,"BURLESON","TX","76028"
"112-5399035-7825023",2025-03-27 01:13:33,"Pending","B0DBYZKLW1",1,89.99,0,"CHARLTON","MA","01507"
"111-9129363-3365051",2025-03-27 01:01:10,"Pending","B0DBYV7V8N",1,58.99,0,"EDINA","MN","55439"
"111-7412836-8111421",2025-03-27 00:30:48,"Pending","B0DBYMRB1C",1,38.99,0,"CLOVIS","CA","93612"
"114-9549473-5494631",2025-03-26 23:44:31,"Pending","B0DBVNXDMY",1,48.99,0,"HAMPTON","VA","23665"
"114-7142033-8318634",2025-03-26 23:35:40,"Pending","B0DBZGL9YS",1,159.99,0,"LAGRANGE","IN","46761"
"114-6270671-9317853",2025-03-26 23:25:12,"Pending","B0DBVJDNXF",1,119.99,0,"san anselmo","CA","94960"
"112-2579397-0058611",2025-03-26 23:03:04,"Pending","B0DBVMLB8P",1,134.99,0,"LIBERTY LAKE","WA","99019"
"114-9043581-7473012",2025-03-26 22:13:31,"Pending","B0DBYZ1P1H",1,199.99,0,"LURAY","VA","22835"
"111-8767634-4567449",2025-03-26 22:07:17,"Pending","B0DQ8SFYYM",1,67.99,0,"BLOOMINGDALE","NJ","07403"
